propname,npropname
Shine Control Sebum Regulating Gel,Glycerin
Shine Control Matte Effect Cream,"Glycerin, dimethicone"
Shine Control Moisturizing Matte Effect Cream,"Glycerin, dimethicone"
Longevity Recovery Serum,Glycerin
Longevity Recovery Nourishing,Glycerin
Longevity Recovery Moisturizing,"Glycerin, dimethicone"
Lightening Brightening Moisturizing Serum,Glycerin
Lightening Clarifying Concentrated Serum,Dimethicone
Age Defense Pro Prebiotic Technology Econature,Glycerin
Lightening High Sun Protection Cream,"Octocrylene, titanium dioxide, avobenzone"
Lucky,dimethicone
Lucky,pyrithione zinc
Lucky,Triclocarban
Lucky,Benzalkonium Chloride
Lucky,Triclosan
Lucky,Ethyl Alcohol
Chestrub,Camphor Menthol Eucalyptus Oil
Lucky SuperSoft,Hydrocortisone
Lucky SuperSoft,Bacitracin Neomycin Polymyxin B
Lucky SuperSoft,Bacitracin Zinc
Lucky SuperSoft,Clotrimazole
Lucky SuperSoft,Camphor Menthol Methyl Salicylate
Lucky SuperSoft,Mineral oil Petrolatum Phenylephrine HCl
LUCKY SUPER SOFT ANTIFUNGAL,Tolnaftate
LUCKY SUPER SOFT,White Petrolatum
LUCKY,Benzalkonium chloride
LUCKY SUPER SOFT,Benzalkonium chloride
Lucky SuperSoft,Benzalkonium chloride
Lucky Instant Hand Sanitizer with Vitamin E and Moisturizers,Ethyl Alcohol
Lucky Instant Hand Sanitizer with Vitamin E,Ethyl Alcohol
Lucky Instant Hand Sanitizer with Aloe Vera,Ethyl Alcohol
Lucky Instant Hand Cleanser with Vitamin E,Ethyl Alcohol
Lucky Instant Hand Sanitizer Citrus Zest,Ethyl Alcohol
Lucky Instant Hand Cleanser with Aloe Vera,Ethyl Alcohol
Lucky Antibacterial Hand Soap,Triclosan
Antibacterial Hand Soap,Triclosan
Lucky Supersoft Antibacterial,Triclosan
Lucky Supersoft,Salicylic Acid
Lucky Blue Ice,Menthol Camphor
My Fair Baby,Zinc Oxide
Lucky,Diphenhydramine hydrochloride Zinc acetate
Lucky SuperSoft,"Lanolin, Petrolatum"
Lucky Epsom Salt,magnesium sulfate
Lucky,Alcohol
Wet Wipes,Benzalkonium chloride
Wet Wipes,Benzethonium chloride
Lucky Super Soft,Sodium fluoride Potassium Nitrate
Lucky Super Soft,Sodium monofluorophosphate
My Fair Baby,Benzocaine
Lucky,Benzocaine Benzalkonium Chloride
CLARISSE Antiperspirant Deodorant,Aluminum chlorohydrate
Lucky Supersoft,Menthol Zinc Oxide
Lucky Supersoft Medicated Body,Menthol Zinc Oxide
Rayito de Sol Sunscreen SPF 6,Octisalate Oxybenzone
Rayito de Sol Sunscreen SPF 18,Octisalate Oxybenzone Padimate O
Rayito de Sol,"Ensulizole, Sulisobenzone"
Rayito de Sol,"OCTINOXATE, OCTISALATE, OCTOCRYLENE, OXYBENZONE, TITANIUM DIOXIDE"
SUBSYS,fentanyl
SYNDROS,Dronabinol
Marqibo,Vincristine Sulfate
nitrogen,nitrogen
Fresh Protect Skin Sanitizer,Benzalkonium Chloride
Lander,Menthol
TopCare Antibacterial Hand Light Moisturizers,Benzalkonium Chloride
TopCare Amber Antibacterial Hand,Benzalkonium Chloride
TopCare Citrus Antibacterial Hand,Benzalkonium Chloride
Reeva Green Apple Antibacterial Hand,Chloroxylenol
TopCare Antibacterial Berry Blast Foaming Hand,Benzalkonium Chloride
TopCare Antibacterial Cucumber Melon Foaming Hand,Benzalkonium Chloride
TopCare Antibacterial White Tea Foaming Hand,Benzalkonium Chloride
TopCare Antibacterial Spring Water Foaming Hand,Benzalkonium Chloride
TopCare Antibacterial Complete Foaming Hand,Benzalkonium Chloride
TopCare Antibacterial Fresh Pear Foaming Hand,Benzalkonium Chloride
Stool Softener plus Stimulant Laxative,Docusate sodium and Sennosides
Acid Reducer,Ranitidine Hydrochloride
Nighttime Sleep-Aid,Diphenhydramine HCl 25 mg
Signature Care Allergy and Congestion Relief,"Loratadine, Pseudoephedrine"
4 Hour Allergy Relief,Chlorpheniramine Maleate
signature care childrens ibuprofen,Ibuprofen
EZ Nite Sleep,Diphenhydramine HCl
signature care infants gas relief,Simethicone
Signature Care Pain Relief,Naproxen Sodium
Hand wash,Benzalkonium chloride
Signature Care severe cold cough and flu,"Acetaminophen, Diphenhydramine hydrochloride, Phenylephrine hydrochloride"
Childrens Mucus Relief DM,"Dextromethorphan HBr, Guaifensin"
Signature Care Ibuprofen,Ibuprofen
Signature Care Ibuprofen PM,"Diphenhydramine citrate, Ibuprofen"
Signature Care Childrens Ibuprofen,Ibuprofen
Cold Flu and Sore Throat Relief,"Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl"
Signature Care Miconazole 1,Miconazole nitrate
SAFEWAY CARE,ETHYL ALCOHOL
signature care tioconazole 1,Tioconazole
SAFEWAY,Hydrocortisone
nasal decongestant,Oxymetazoline HCl
Cold and Flu Relief,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE"
Safeway,Bacitracin Zinc
Safeway,"Neomycin Sulfate, Polymyxin B Sulfate, and Pramoxine Hydrochloride"
Signature Care,Castor
Signature Care Childrens Cold and Cough,"Brompheniramine maleate, Dextromethorphan HBr, Phenylephrine HCl"
Signature Care Lice Treatment,"Piperonyl butoxide, Pyrethrum extract"
Signature Care Mucus Relief Max,Guaifenesin
Signature Care Acid Reducer Complete,"famotidine, calcium carbonate and magnesium hydroxide"
signature care esomeprazole magnesium,Esomeprazole
Signature Care Allergy Relief,Fluticasone propionate
signature care allergy relief,Cetirizine Hydrochloride
Signature Care Non drowsy Daytime Severe Cold and Flu Relief,"acetaminophen, dextromethorphan hbr, guaifenesin, phenylephrine hcl"
Childrens Non-Drowsy,Loratadine
SAFEWAY CARE,TRICLOSAN
Signature Care Miconazole 3,Miconazole nitrate
Aspirin Free Pain Relief,Acetaminophen
Safeway,Cetirizine Hydrochloride
signature care allergy relief,fexofenadine hcl
Signature Care Pain Relief,Acetaminophen
Nasal Decongestant,Pseudoephedrine HCl 30 mg
Signature Care Antibacterial Foaming Hand Pear Scent,Triclosan
Signature Care Mucus Relief DM,"Dextromethorphan HBr, Guaifenesin"
Signature Care Acid Control,Ranitidine
signature care stool softener,Docusate sodium
Signature Care Triple Antibiotic,"Bacitracin Zinc, Neomycin sulfate, Polymyxin B, Pramoxine HCl"
Signature Care Miconazole 7,Miconazole nitrate
signature care childrens allergy relief,Fluticasone Propionate
Signature Care Allergy Relief,Loratadine
signature care antacid,Calcium carbonate
Antacid Relief Extra Strength Assorted Fruit,Calcium antacid
Signature Care Nighttime Severe Cold and Flu Relief,"Acetaminophen, Dextromethorphan HBr, Doxylamine Succinate, Phenylephrine HCl"
Antacid Relief Extra Strength,calcium carbonate
signature care anti diarrheal,loperamide HCl
Gas Relief,simethicone
Signature Care Omeprazole,Omeprazole
signature care vagicaine,"Benzocaine, Resorcinol"
Fiber Laxative,CALCIUM POLYCARBOPHIL
Triacting Day Time,"DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE"
signature care itch relief,"Diphenhydramine Hydrochloride, Zinc Acetate"
Added Strength Pain Reliever,"Acetaminophen, Aspirin and caffeine"
signature care hair regrowth treatment for women,Minoxidil
Signature Care daytime nighttime severe cold and flu relief,"acetaminophen, dextromethorphan HBr, doxylamine succinate, guaifenesin, phenylephrine HCl"
signature care aspirin,Aspirin
signature care antacid,calcium carbonate
Ultra Strength Antacid Relief Assorted fruit,Calcium Antacid
Signature Care Allergy Relief D,"Cetirizine HCl, Pseudoephedrine HCl"
Signature Care Antibacterial Foaming Moisturizing,Triclosan
signature care naproxen sodium,Naproxen Sodium
signature care acid reducer,Lansoprazole
Antacid Extra Strength Assorted Berry,Calcium carbonate
Signature Care Childrens Allergy Relief,Cetirizine HCl
Pain Relief Easy Tabs,Acetaminophen
Motion Sickness Relief,Dimenhydrinate
Antacid Relief Extra Strength Tropical Fruit,Calcium antacid
Signature Care Athletes Foot,Tolnaftate
Nighttime Sleep Aid,Diphenhydramine Hydrochloride
Extra Strength Pain Relief PM,Acetaminophen and Diphenhydramine HCl
FOAMING HAND SANITIZER,BENZALKONIUM CHLORIDE
signature care childrens pain relief,Acetaminophen
signature care acid controller,Famotidine
Safeway Instant Hand Sanitizing wipes,Alcohol
SAFEWAY,ETHYL ALCOHOL
Sinus and Allergy Relief,"Chlorpheniramine maleate, Phenylephrine HCl"
Pain Relief Rapid Release Gelcaps,Acetaminophen
signature care hair regrowth treatment,Minoxidil
Cherry Cough Drop,menthol
Signature Care Anti Itch,Hydrocortisone
Signature Care Ibuprofen PM,"diphenhydramine citrate, ibuprofen"
Dye Free Pain Reliever,Acetaminophen
Signature Care Athletes Foot,Clotrimazole
anti nausea,"Dextrose (glucose), Levulose (fructose), Phosphoric Acid"
SAFEWAY,TRICLOSAN
Dry Scalp Care,Pyrithione Zinc
Vegetable Laxative,Sennosides
Mint,Cetylpyridinium Chloride
Nasal Decongestant,oxymetazoline hydrochloride
Daytime Cold and Flu Relief,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride"
childrens cold and allergy relief,"Brompheniramine maleate, Phenylephrine HCl"
Antiseptic Mouth Rinse,"Eucalyptol, Menthol, Methyl Salicylate, Thymol"
SAFEWAY,DIMETHICONE
Pain and Fever Relief,Acetaminophen
SAFEWAY,PETROLATUM
Pain Relief,Menthol 10.5%
Arthritis 8 Hour,Acetaminophen
Bite and Sting Relief,Benzocaine 5.00%
DM Max Relief,"dextromethorphan hydrobromide, guaifenesin"
Signature Care Cool Heat,"Menthol, Methyl salicylate"
signature care athletes foot,Miconazole Nitrate
Sinus Relief,"Acetaminophen, Phenylephrine HCl"
signature care infants ibuprofen,Ibuprofen
Nighttime Sleep,Diphenhydramine HCl
Signature Care Hydrocortisone,Hydrocortisone
Sore Throat,Phenol
Multi Symptom Cold Relief CF,"Dextromethorphan HBr, Guaifenesin, Phenylephrine"
Adult Cough Relief DM,Dextromethorphan HBr
Adult Cough and Chest Congestion Relief DM,"Dextromethorphan HBr, Guaifenesin"
Nighttime Sleep Aid,Doxylamine succinate
Acid Reducer 150,Ranitidine Hydrochloride Tablets 150mg
Safeway Cold Sore Treatment,Camphor
Signature Care Triple Antibiotic,"bacitracin zinc, neomycin, polymyxin B"
Cough and Cold HBP,"Chlorpheniramine maleate, Dextromethorphan HBr"
SAFEWAY,PYRITHIONE ZINC
Adult Low Strength Aspirin,Aspirin
DayTime NightTime Cold and Flu,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCl"
SAFEWAY CARE,PYRITHIONE ZINC
SAFEYWAY CARE,PYRITHIONE ZINC
Signature Care Nasal Decongestant,Oxymetazoline Hydrochloride
Signature Care Nasal Allergy,Triamcinolone acetonide
Childrens Aspirin Free Rapid Tabs,Acetaminophen
Signature Care Triple Antibiotic,"Bacitracin, Neomycin, Polymyxin B, Pramoxine HCl"
Junior Aspirin Free Rapid Tabs,Acetaminophen
Nasal Decongestant PE,Phenylephrine HCl
FRESH DECOR,ETHYL ALCOHOL
Pain Relief,"Acetaminophen, Phenylephrine HCl"
Day time,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride"
Upset Stomach Relief,Bismuth subsalicylate
Antacid Relief,Calcium carbonate
Safeway Nighttime Cold and Flu,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE"
signature care allergy and congestion relief,"loratadine, Pseudoephedrine sulfate"
pain relief,Acetaminophen
stool softener,Docusate sodium
Daytime Nighttime Cold Flu Relief,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCl"
Aspirin Free Cold Head Congestion Day Time,"Acetaminophen, Phenylephrine HCl, Dextromethorphan HBr and Guiafenesin"
signature care pain relief,Naproxen sodium
Antacid,"Aluminum Hydroxide, Magnesium Hydroxide and Simethicone"
signature care antacid plus gas relief,"aluminum hydroxide, magnesium hydroxide, simethicone"
Extra Strength Aspirin Free Pain Relief,Acetaminophen
Signature Care Maximum Strength Urinary Pain Relief,PHENAZOPYRIDINE HYDROCHLORIDE
Multi-Symptom Cold Relief,"Acetaminophen, Chlorpehniramine HCl, Dextromethorphan HBr, Phenylephrine HCl"
IMMEDIATE-RELEASE MUCUS RELIEF DM,"Dextromethorphan HBr, Guaifenesin"
Mucus Relief PE,Guaifenesin and Phenylephrine HCl
Pain Relief PM,Acetaminophen and Diphenhydramine HCl
Signature Care First Aid Antibiotic,"Neomycin, Polymyxin B, Pramoxine HCl"
Pain Relief,"Acetaminophen, Dextromethorphan HBr, Phenylephrine HCl"
signature care acid control,Ranitidine
Signature Care Migraine Relief,"Acetaminophen, Aspirin, Caffeine"
signature care hemorrhoidal,"mineral oil, petrolatum, phenylephrine HCl"
Signature Care Nasal Decongestant,oxymetazoline hydrochloride
signature care ibuprofen,Ibuprofen
ANTIDANDRUFF,SELENIUM SULFIDE
Severe Sinus Congestion and Pain,"Acetaminophen, Guaifenesin, Phenylephrine HCl"
SAFEWAY,SELENIUM SULFIDE
SAFEWAY CARE,SELENIUM SULFIDE
Signature Care Hemorrhoidal,"cocoa butter, phenylephrine HCl"
Signature Care Daytime Cough,Dextromethorphan HBr
Signature Care Athletes foot,tolnaftate
Cough and Cold HBP,"chlorpheniramine maleate, dextromethorphan HBr"
signature care anti nausea,"Dextrose (glucose), Levulose (fructose), Phosphoric Acid"
Signature Care Hair Regrowth Treatment for men,Minoxidil
signature care first aid antibiotic,Bacitracin
Burn Relief,Lidocaine 0.50%
Saline Wound Wash,Benzethonium Chloride
Pain Relief Roller,Menthol 4%
Sinus Headache PE,Acetaminophen and Phenylephrine HCl
Daytime Cold and Pain Relief,"Acetaminophen, Phenylephrine HCl, Dextromethorphan HBr and Guiafenesin"
Signature Care Acid Controller,Famotidine
Signature Care Hemorrhoidal,"Glycerin, Phenylephrine HCI, Pramoxine HCI, and White petrolatum"
Signature Care Hemorrhoidal,"Mineral oil, Petrolatum, and Phenylephrine HCI"
signature care antacid plus gas relief,"Aluminum hydroxide, Magnesium hydroxide, Simethicone"
Signature Care Tussin,"Dextromethorphan HBr, Guaifenesin"
Signature Care Nasal Decongestant,Oxymetazoline HCl
Signature Care Antifungal,Tolnaftate
Signature Care Antifungal,Clotrimazole
70% Isopropyl Rubbing Alcohol,Isopropyl Rubbing Alcohol
Severe Congestion and Cough Relief,"Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl"
SAFEWAY,BENZOYL PEROXIDE
signature care clearlax,Polyethylene Glycol 3350
Cold and Flu,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride"
Zinc Cold Therapy,ZINC GLUCONATE
Oatmeal,Dimethicone
"Cold, Flu and Sore Throat Relief","Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl"
Severe Congestion and Cold,"Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl"
Sinus PE,"Guaifenesin, Phenylephrine HCl"
Signature Care Medicated Cooling,Witch Hazel
Mucus Relief DM,"Guaifenesin, Dextromethorphan HBr"
Pain Relief,"Acetaminophen, Aspirin, Caffeine"
Ultra Strength Antacid Relief Assorted Berry,Calcium carbonate
Signature Care Cold and Hot Medicated,Menthol
signature care miconazole 3,Miconazole nitrate
Mucus Relief DM MAXIMUM STRENGTH,Guaifenesin and Dextromethorphan HBr
Signature Care Hydrocortisone,hydrocortisone
MUCUS RELIEF DM,Guaifenesin and Dextromethorphan HBr
Carbon Dioxide Air Mixture,Carbon Dioxide Air Mixture
Helium/Oxygen Mixture 80/20,Helium/Oxygen Mixture 80/20
Helium/Oxygen Mixture 70/30,Helium/Oxygen Mixture 70/30
Carbon Dioxide Oxygen Mixture,Carbon Dioxide Oxygen Mixture
Oxygen Nitrogen Mixture,Oxygen Nitrogen Mixture
SaniKlean E3 Hand Sanitizer,Alcohol
SEPTISURGE,CHLOROXYLENOL
ABILIFY,ARIPIPRAZOLE
clindamycin hydrochloride,clindamycin hydrochloride
Diclofenac Sodium Extended-Release,Diclofenac Sodium
Effexor,venlafaxine hydrochloride
ORGAN-I NR,guaifenesin
GABAPENTIN,GABAPENTIN
Ibuprofen (NSAID),Ibuprofen (NSAID)
NUCYNTA,tapentadol hydrochloride
Keppra,levetiracetam
Meloxicam,meloxicam
Naproxen Pain Relief,Naproxen Sodium
Paroxetine,Paroxetine Hydrochloride
ZALEPLON,ZALEPLON
Prevacid SoluTab,lansoprazole
Protonix,pantoprazoel sodium
Methotrexate,Methotrexate sodium
Androgel,testosterone
RISPERDAL,risperidone
Skelaxin,Metaxalone
TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE
Topamax,topiramate
Trazodone Hydrochloride,Trazodone
WELLBUTRIN XL,bupropion hydrochloride
ULTRACET,tramadol hydrochloride and acetaminophen
Actos,pioglitazone hydrochloride
Cefuroxime axetil,Cefuroxime axetil
Xopenex,levalbuterol hydrochloride
ZONISAMIDE,ZONISAMIDE
PAXIL,paroxetine hydrochloride
TOPIRAMATE,TOPIRAMATE
Depakote,Divalproex sodium
MEPHYTON,phytonadione
Thermazene,Silver Sulfadiazine
Rozerem,ramelteon
RAZADYNE,galantamine hydrobromide
Nystatin and Triamcinolone,Nystatin and Triamcinolone Acetonide
Sulfacetamide Sodium and Prednisolone Sodium Phosphate,sulfacetamide sodium and prednisolone sodium phosphate
GENTAMICIN SULFATE,gentamicin sulfate
Albuterol,Albuterol
Tobramycin,tobramycin
Ambien CR,zolpidem tartrate
Dicyclomine,Dicyclomine
acetic acid,acetic acid
Lunesta,eszopiclone
PROVIGIL,MODAFINIL
Childrens Silapap,Acetaminophen
Ciprofloxacin Hydrochloride,ciprofloxacin hydrochloride
Triazolam,Triazolam
Crestor,Rosuvastatin calcium
ULTRAM ER,tramadol hydrochloride
Diphenhydramine,Diphenhydramine
Arthricream,Trolamine Salicylate
VYTORIN,ezetimibe and simvastatin
Polymyxin B Sulfate and Trimethoprim,polymyxin B sulfate and trimethoprim
Saline Mist,Saline Mist
Kaletra,lopinavir and ritonavir
PILOCARPINE HYDROCHLORIDE,PILOCARPINE HYDROCHLORIDE
Zidovudine,ZIDOVUDINE
ERYTHROMYCIN Base Filmtab,ERYTHROMYCIN
Quinapril,Quinapril
TriNessa,Norgestimate and Ethinyl Estradiol
Tobramycin and Dexamethasone,Tobramycin and Dexamethasone
VALPROIC ACID,valproic acid
VENTOLINHFA,albuterol sulfate
Sterile Vancomycin Hydrochloride,Vancomycin Hydrochloride
Clorazepate Dipotassium,Clorazepate Dipotassium
Neomycin and Polymyxin B Sulfates and Hydrocortisone,"Neomycin sulfate, Polymyxin B Sulfate and Hydrocortisone"
Banalg,Methyl Salicylate
Doxepin Hydrochloride,Doxepin Hydrochloride
Hyoscyamine Sulfate,Hyoscyamine Sulfate
NEXT CHOICE,Levonorgestrel
Zmax,azithromycin
Trimethobenzamide Hydrochloride,Trimethobenzamide
Promethazine hydrochloride,Promethazine hydrochloride
ERTACZO,ERTACZO
INVEGA,paliperidone
ERY-TAB,erythromycin
ACULAR,KETOROLAC TROMETHAMINE
LEVAQUIN,levofloxacin
XYLOCAINE,Lidocaine Hydrochloride
PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE
ULORIC,febuxostat
Delsym,Dextromethorphan Polistirex
Phenylephrine,Phenylephrine
Vivotif-B,Vivotif-B
Neomycin and Polymyxin B Sulfates and Gramicidin,"Neomycin sulfate, Polymyxin B Sulfate and Gramicidin"
Azithromycin,Azithromycin monohydrate
Amantadine HCl,Amantadine hydrochloride
Clearlax,polyethylene glycol
Catapres,clonidine
Glyburide and Metformin,Glyburide and Metformin
isosorbide mononitrate,isosorbide mononitrate
Doxycycline,Doxycycline Hyclate
RE-PB HYOS ELIXIR,BELLADONNA ALKALOIDS W/ PHENOBARBITAL
Neomycin and Polymyxin B Sulfates and Dexamethasone,"neomycin sulfate, polymyxin B sulfate and dexamethasone"
Flurbiprofen Sodium,Flurbiprofen Sodium
Chantix,varenicline tartrate
Pentazocine HCl and Acetaminophen,Pentazocine Hydrochloride and Acetaminophen
Nitroglycerin Slocaps,Nitroglycerin Sustained-release capsules
Flexall Pain Relieving,Menthol
Tretinoin,tretinoin
Plavix,clopidogrel bisulfate
Bisoprolol Fumarate,Bisoprolol fumarate
HYDRALAZINE HYDROCHLORIDE,Hydralazine Hydrochloride
Mineral Oil,Lacri-Lube
Aspirin EC,Aspirin
Tilia Fe,Norethindrone Acetate and Ethinyl Estradiol
Siladryl Allergy Medicine,diphenhydramine hydrochloride
ERYTHROMYCIN ETHYLSUCCINATE AND SULFISOXAZOLE ACETYL,ERYTHROMYCIN ETHYLSUCCINATE AND SULFISOXAZOLE ACETYL
Promethazine Hydrochloride and Dextromethorphan Hydrobromide,Promethazine Hydrochloride and Dextromethorphan Hydrobromide
TRAMADOL HYDROCHLORIDE,tramadol hydrochloride
Flector,Diclofenac epolamine
furosemide,furosemide
Senna Plus,Senna Plus
AMRIX,Cyclobenzaprine Hydrochloride
"Orphenadrine Citrate, Aspirin and Caffeine","Orphenadrine Citrate, Aspirin and Caffeine"
Loratadine and Pseudoephedrine,loratadine and pseudoephedrine
Lisinopril and hydrochlorothiazide,Lisinopril and hydrochlorothiazide
Neomycin and Polymyxin B Sulfates and Bacitracin Zinc with Hydrocortisone Acetate,"Neomycin sulfate and Polymyxin B Sulfate, Bacitracin zinc and Hydrocortisone Acetate"
Q Tussin DM,Dextromethorphan HBr and Guaifenesin
Prednisone,prednisone
Xodol,Hydrocodone Bitartrate and Acetaminophen
Zetia,Ezetimibe
Welchol,colesevelam hydrochloride
Voltaren,diclofenac sodium
ropinirole hydrochloride,ropinirole hydrochloride
nifedipine,nifedipine
Nitroglycerin,Nitroglycerin
Benadryl,Diphenhydramine Hydrochloride
Propafenone,propafenone hydrochloride
FEXOFENADINE HYDROCHLORIDE and PSEUDOEPHEDRINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE and PSEUDOEPHEDRINE HYDROCHLORIDE
FLUOROURACIL,fluorouracil
Fexmid,cyclobenzaprine hydrochloride
LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE
ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE
Almacone,Almacone
COMBIVIR,lamivudine and zidovudine
Dexamethasone Sodium Phosphate,dexamethasone sodium phosphate
PROAIR,albuterol sulfate
Tigan,trimethobenzamide hydrochloride
Enpresse,levonorgestrel and ethinyl estradiol
Necon,Norethindrone and Ethinyl Estradiol
Amlobenz,Amlobenz
OXYMETAZOLINE HYDROCHLORIDE,OXYMETAZOLINE HYDROCHLORIDE
Ofloxacin,Ofloxaxin
AK-PENTOLATE,Cyclopentolate Hydrochloride
Econazole Nitrate,Econazole Nitrate
PRADAXA,dabigatran etexilate mesylate
Magnesium Hydroxide,Magnesium Hydroxide
NAPRELAN,naproxen sodium
AK-Con,naphazoline hydrochloride
Xolox,Oxycodone HCl and Acetaminophen
Natures Tears,Natures Tears
Allegra D 12 Hour Allergy and Congestion,fexofenadine hydrochloride and pseudoephedrine hydrochloride
TERCONAZOLE,terconazole
OxyContin,oxycodone hydrochloride
DESONIDE,DESONIDE
OPANA ER,Oxymorphone Hydrochloride
Metoprolol Succinate,Metoprolol Succinate
TREXIMET,sumatriptan succinate and naproxen sodium
ZOMIG,Zolmitriptan
Promethegan,promethazine hydrochloride
QUADRAPAX,"Phenobarbital, Hyoscyamine Sulfate, Atropine Sulfate, Scopolamine Hydrobromide"
Plan B One-Step,levonorgestrel
Anti Diarrheal,Loperamide HCl
Proctofoam,hydrocortisone acetate and pramoxine hydrochloride
Aviane,levonorgestrel and ethinyl estradiol
Procentra,dextroamphetamine sulfate
PURELL Advanced Hand Sanitizer Biobased Content,ALCOHOL
PURELL Advanced Hand Sanitizer be Peaceful,alcohol
PURELL Advanced Hand Sanitizer be Vibrant,alcohol
